"Day","Sale ID","Order name","Product title at time of sale","Net sales"
"2025-11-08",21075689767202,"#1089",,0
"2025-11-08",21075689734434,"#1089","DreamRevive 16-Head Massager",169.99
"2025-11-08",21078133801250,"#1090","DreamRevive 16-Head Massager",169.99
"2025-11-08",21075678920994,"#1088","DreamRevive 16-Head Massager",169.99
"2025-11-09",21082039976226,"#1092",,0
"2025-11-09",21079723606306,"#1091","DreamRevive 16-Head Massager",165.41
"2025-11-09",21082039943458,"#1092","DreamShade 3D Sleep Mask",34.07
"2025-11-09",21079723639074,"#1091",,0
"2025-11-10",21086287331618,"#1093","DreamBreathe Electric Anti-Snoring Respirator",34.99
"2025-11-10",21086287364386,"#1093",,0
"2025-11-11",,,,0
"2025-11-12",21096372371746,"#1094","DreamRevive 16-Head Massager",173.6
"2025-11-12",21099363238178,"#1095","DreamShield Blue Light Blocking Glasses",62.86
"2025-11-12",21099363270946,"#1095",,0
"2025-11-12",21096372404514,"#1094",,0
"2025-11-13",21123626008866,"#1096",,0
"2025-11-13",21123625976098,"#1096","DreamShade 3D Sleep Mask",33.99
"2025-11-14",21133185089826,"#1095",,-1.5
"2025-11-14",21129725542690,"#1097",,0
"2025-11-14",21129725509922,"#1097","DreamShade 3D Sleep Mask",35.24
"2025-11-14",21128172273954,"#1095",,0
"2025-11-14",21128172306722,"#1095",,1.5
"2025-11-15",21130752459042,"#1098","DreamRest Cervical Pillow",129.99
"2025-11-15",21130752491810,"#1098","DreamRevive 16-Head Massager",149.99
"2025-11-15",21130752524578,"#1098",,0
"2025-11-16",,,,0
"2025-11-17",21145613304098,"#1102",,0
"2025-11-17",21145610780962,"#1101","DreamRelief Shoulder Neck Massager",0
"2025-11-17",21143220945186,"#1099","DreamBreathe Electric Anti-Snoring Respirator",69.98
"2025-11-17",21145613271330,"#1102","DreamRest Cervical Pillow",0
"2025-11-17",21143220977954,"#1099",,0
"2025-11-17",21145541116194,"#1100",,0
"2025-11-17",21145610813730,"#1101",,0
"2025-11-17",21145541083426,"#1100","DreamRevive 16-Head Massager",0
"2025-11-18",21148829450530,"#1103",,0
"2025-11-18",21148829417762,"#1103","DreamBreathe Electric Anti-Snoring Respirator",69.98
"2025-11-19",21156395483426,"#1104",,0
"2025-11-19",21156395450658,"#1104","DreamSupport Lumbar Seat Cushion",101.98
"2025-11-20",,,,0
